Pixtra OmniStitcher,No,No,No,No,No,[empty]
QuickPHOTO[6],No,No,No,No,Yes,[empty]
PhotoFit Harmony / Premium,No,No,No,No,No,[empty]
PanoramaPlus X4,No,No,No,No,No,[empty]
PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro,No,No,No,No,No,[empty]
360 Panorama Professional,No,No,No,No,No,[empty]
VRstitcher Fisheye Pro,No,No,No,No,No,[empty]
COOL 360,No,No,No,No,No,[empty]
The Panorama Factory v5,No,No,No,No,No,[added]
PixMaker Lite / Home / Business,No,No,No,No,No,[empty]
PTAssembler,No,No,No,No,Yes,Exposure fusion with TuFuse or enfuse. Automatic detection of image stacks.
PTgui / PTgui Pro,Yes*,Yes*,Yes*,Yes*,Yes*,Exposure fusion with enfuse or TuFuse. *) Pro version only.
Autopano Pro / Giga / Server,Yes,Yes,Yes,Yes,Yes,Ceased trading September 2018
Autostitch,No,No,No,No,No,[empty]
Calico Panorama,No,No,No,No,No,[empty]
Hugin,Yes,Yes,Yes,No,Yes,Exposure fusion with enfuse  automatic detection of image stacks.
3DVista Stitcher 3.0,No,No,No,No,No,[empty]
D Joiner,No,No,No,No,No,[empty]
Panorama Maker 6,No,No,No,No,No,[empty]
Photovista Panorama,No,No,No,No,No,[empty]
PanoramaStudio,No,No,No,No,No,[empty]
Stitcher Unlimited 2009[7],Yes,Yes,Yes,Yes,No,[empty]
ADG Panorama Tools / Pro,No,No,No,No,No,[empty]
Panorama Composer 3,No,No,No,No,No,[empty]
Image Composite Editor,No,No,No,No,No,Supports 16-bit camera raw input via WIC plugins
Panorama Perfect,No,No,No,No,No,[empty]
Photoshop,Yes,Yes,Yes,Yes,No,[empty]
AIPR Lite 1,No,No,No,Yes*,No,(*) color mapping around the seams allows to preserve the original photometric properties of the images
Gigapan Stitch 1.0,No,No,No,No,No,[empty]
PanoramaMaker,No,No,No,No,No,[empty]
Panorama Stitcher,Yes,No,No,No,No,[empty]
SharpStitch,Yes,No,No,No,No,[empty]
Pano2VR / Pano2VR pro,Yes,No,Yes,No,No,[empty]
Name,HDR input (EXR  HDR  Logluv  etc.),Merging to HDR from LDR images,HDR output (EXR  HDR  Logluv  etc.),Tonemapping,Exposure fusion,Notes
Name,Panorama leveling,Vignetting correction,Lens distortion correcting,White balance correction,Exposure correction,Viewpoint adjustment,Notes
Panoweaver Standard / Professional[8],Yes,Yes,Yes,Yes,Yes,Yes,[empty]
Dermandar,Yes,No,Yes,No,Yes,No,[empty]
i2Align Quickage Express / Pro[9],Yes,?,Yes,?,Yes,No,[empty]
Pixtra PanoStitcher[10],Yes,Yes,Yes,No,Yes,No,Also chromatic aberration correction if correction parameters provided
Pixtra OmniStitcher,Yes,Yes,Yes,No,Yes,No,Also chromatic aberration correction if correction parameters provided
QuickPHOTO,No,Yes,No,Yes,Yes,No,[empty]
PhotoFit Harmony / Premium[11],Yes,?,Yes,Yes,?,No,[empty]
PanoramaPlus X4[12],Yes,?,?,?,?,No,[empty]
PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro,?,?,?,?,?,No,[empty]
360 Panorama Professional,?,?,?,?,?,No,[empty]
VRstitcher Fisheye Pro[13],Yes,?,Yes,?,?,No,[empty]
COOL 360,?,?,?,?,?,No,[empty]
PanaVue ImageAssembler Std. / Pro. / Ent.[14],Yes,?,Yes,Yes,?,No,[empty]
The Panorama Factory v5[15],?,Yes,Yes,?,?,No,[empty]
PixMaker Lite / Home / Business,?,?,?,?,?,No,[empty]
PTAssembler[16],Yes,Yes,Yes,Yes,Yes,No,[empty]
PTgui / PTgui Pro,Yes,Yes,Yes,Yes,Yes,Yes[17],[empty]
Autopano Pro / Giga / Server,Yes,Yes,Yes,Yes,Yes,Yes*[18],(*) Giga only.
Autostitch,Yes,No,No,No,No,No,[empty]
Calico Panorama,Yes,?,?,?,?,No,[empty]
Hugin,Yes,Yes,Yes,Yes,Yes,Yes[19],[empty]
3DVista Stitcher 3.0,?,?,?,?,?,No,[empty]
D Joiner[20],No,No,No,No,No,No,[empty]
Panorama Maker 6,?,?,?,?,?,No,[empty]
Photovista Panorama[21],No,No,No,No,No,No,[empty]
PanoramaStudio / Pro [22],Yes,Yes,Yes,?,Yes,No,[empty]
Stitcher Unlimited 2009,?,?,?,Yes,?,No,[empty]
ADG Panorama Tools / Pro,Yes,?,?,Yes,?,No,[empty]
Panorama Composer 3[23],Yes,?,?,?,?,No,[empty]
Image Composite Editor,Yes,Yes,Yes,No,Yes,No,[empty]
Panorama Perfect[24],Yes,Yes,?,Yes,Yes,No,[empty]
Photoshop,Yes,Yes,Yes,Yes,Yes,No,[empty]
AIPR Lite 1,No,Yes*,Yes,No,No,No,(*) color mapping about the seams greatly mitigates the effects of vignetting
Gigapan Stitch 1.0,No,No,Yes,No,No,No,[added]
PanoramaMaker,Yes,?,Yes,?,Yes,No,[added]
Panorama Stitcher,Yes,Yes,Yes*,No,Yes,Yes,(*) Only for rectilinear lenses
SharpStitch,Yes,Yes,No,Yes,Yes,Yes,[empty]
Pano2VR / Pano2VR pro[25],Yes,No,No,No,No,Yes,[empty]
Name,Panorama leveling,Vignetting correction,Lens distortion correcting,White balance correction,Exposure correction,Viewpoint adjustment,Notes
Name,Raster images (JPEG  TIFF  etc.),Flash viewer,Java viewer,QTVR,HTML 5*,Notes
Panoweaver Standard / Professional,Yes,Yes,Yes,Yes,Yes,Includes free Flash and HTML5 viewer.
Dermandar,Yes,Yes,No,No,Yes,Includes free Flash and HTML5 viewer.
i2Align Quickage Express / Pro,Yes,No,No,No,No,[empty]
Pixtra PanoStitcher,Yes,Yes,Yes,Yes,No,Includes ActiveX viewer & export.
Pixtra OmniStitcher,Yes,Yes,Yes,Yes,No,Includes ActiveX viewer & export.
QuickPHOTO,Yes,No,No,No,No,[empty]
PhotoFit Harmony / Premium,Yes,No,No,Yes,No,[empty]
PanoramaPlus X4,Yes,No,No,Yes,No,Flickr export.
PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro,Yes,Yes*,No,No,No,(*) Planar viewer.
360 Panorama Professional,Yes,No,Yes,Yes,No,[empty]
VRstitcher Fisheye Pro,Yes,No,Yes,?,No,[empty]
COOL 360[26],Yes,No,No,Yes,No,Embedding of panoramas into executables (.exe) and Microsoft Office files. ActiveX viewer.
PanaVue ImageAssembler Std. / Pro. / Ent.,Yes,Yes,Yes,Yes,No,[empty]
The Panorama Factory v5,Yes,No,Yes,Yes,No,[empty]
PixMaker Lite / Home / Business,Yes,?,?,?,No,[empty]
PTAssembler,Yes,No,No,No,No,[empty]
PTgui / PTgui Pro,Yes,No,No,Yes,Yes[27],[empty]
Autopano Pro / Giga / Server,Yes,Yes,No,No,No,[empty]
Autostitch,Yes,No,No,No,No,[empty]
Calico,Yes,No,?,?,?,[empty]
Hugin,Yes,No,No,No,No,[empty]
3DVista Stitcher 3.0,Yes,No,No,No,No,[empty]
D Joiner,Yes,?,Yes,No,No,[empty]
Panorama Maker 6,Yes,Yes,Yes,Yes,No,[empty]
Photovista Panorama,Yes,No,Yes,No,No,IVR export.
PanoramaStudio / pro[28],Yes,Yes,Yes,No,Yes,[empty]
Stitcher Unlimited 2009,Yes,Yes,Yes,Yes,No,VRML export.
ADG Panorama Tools / Pro,Yes,No,Yes,Yes,No,[empty]
Panorama Composer 3,Yes,Yes,Yes,Yes,No,Includes ActiveX viewer & export.
Image Composite Editor,Yes,No,No,No,No,Publish to Photosynth website  Silverlight based viewer.
Panorama Perfect,Yes,No,No,No,No,[empty]
Photoshop,Yes,No,No,No,No,[empty]
AIPR Lite 1,Yes,No,No,No,No,[empty]
Gigapan Stitch 1.0,Yes,Yes,No,No,No,3D viewer in stitcher / Publishing to gigapan.org 2D flash viewer / Embeddable flash viewer
PanoramaMaker,Yes,No,No,No,No,[empty]
PanoEdit,Yes,No,No,No,No,[empty]
SharpStitch,Yes,No,No,No,No,[empty]
Pano2VR / Pano2VR pro,Yes,Yes,No,Yes,Yes,[empty]
Name,Raster images (JPEG  TIFF  etc.),Flash viewer,Java viewer,QTVR,HTML 5*,Notes
