HTTP Live Streaming,3+[246],3+[247],10+[248],10+[249],No,?[250],Yes
WebRTC,Yes[251],11+[252],No,Yes (beta),No,No,Yes
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Unified Inbox,No [253] but 3rd party apps available[254],Yes,7.5+[255],Yes,Yes,Yes,?
Email sync protocols supported,POP3  IMAP  MAPI,POP3  IMAP  MAPI  ActiveSync[256],POP3  IMAP  MAPI  ActiveSync,BES  BIS  Push e-mail  10+: POP3  IMAP  ActiveSync,POP3  IMAP,POP3  IMAP  ActiveSync,?
Non-carrier-based integrated messaging,Google Hangouts,5+ (iMessage)[257],Skype[258],BBM,?,3rd party software,3rd party software
Visual voicemail,2.1+[259],Yes,Yes[260],Yes,?,?,?
Call log duration,Yes[261],Yes[262],8.1+[263],Yes[264],?,Yes,Yes
Multiple mobile phones per contact,Yes,Yes,Yes,Yes,?,Yes,Yes
Contact groups,4+[265] or 3rd party software[266],Via iCloud or 3rd party software[267],7.5+[268],Yes,Yes,No[269],?
Voice over IP,Yes (SIP)[270] or 3rd party software[271],FaceTime; 3rd party software[272],8+ Skype[273],BBM 7+[274] or 3rd party software[275],No[276],3rd party software,3rd party software
NFC payment software,Available on any device that supports the hardware. Android Pay for NFC payments available in Play Store.[277],8+: iPhone 6/6 Plus and later (iPhone 5 and later if used with Apple Watch)  via Apple Pay,8+[278],Yes[279],No,No,No
Tethering,Mobile Wi-Fi Hotspot  USB  Bluetooth,4.3+: Personal Hotspot (Wi-Fi  Bluetooth  USB; carrier dependent),Internet Sharing (Wi-Fi Hotspot) [280] Bluetooth (8.1 Update+),USB  Bluetooth  Mobile Wi-Fi Hotspot,microUSB  Bluetooth 3.0  Mobile Wi-Fi Hotspot,Mobile Wi-Fi Hotspot  USB  Bluetooth,Mobile Wi-Fi Hotspot
USB On-The-Go,3.1+[281][282],13+;[283] 9+: Only for connecting cameras,10+[284],10.2+[285],No,Yes,Yes
Direct file transfer over Wi-Fi Direct,4+[68] and selected devices[286][287],No  3rd party software on jailbroken devices,No,10.2+,No  was available on bada 2+ [288] but removed on Tizen,No[289],No
DHCP v4,Yes,Yes,?,Yes,?,?,?
DHCP v6,No,Yes,?,Yes (Manually selected; Wi-Fi only),?,?,?
Direct file transfer over Bluetooth,2+[290],AirDrop: 7+: Between iOS only; 8+: Between Mac/iOS only. (Note: AirDrop utilizes Wi-Fi as well),8+[291],Yes,No  was available on bada [292] but removed on Tizen,Yes[293] but limited to images  videos and contacts,No
Direct file transfer over NFC,4+[68],No,8+[294],7.1+[295],2+[288],No,No
Feature,Android,iOS,Windows 10 Mobile,BlackBerry 10,Tizen,Sailfish OS,Ubuntu Touch
Non-English languages support,Partial[296],Yes[297][298][299],Yes,Yes,Limited (Search is not diacritical mark-insensitive),Yes,Yes
Underlining spell checker,2.3+[300][301],Yes[302],Yes[303],Yes,No,?,No
Built-in system-wide dictionary,Built into keyboard app. Available on every device.[304],5+[305],Yes[306],Yes,No,Yes,Yes
Autoexpanding text replacements,Yes,5+[307],Yes[306],Yes[308],?,?,?
Keyboard next word prediction,No [309] 3rd party software[310],8+[311],Yes[312],Yes,No,Yes,Yes
Keyboard cursor controller,Google Keyboard;[313];[314],12+;[315] 9-11: Only on devices with 3D Touch;[316],Yes[317],No,No,No,Yes
Optical character recognition input method,No[318],11+: Notes app;[319] 8+: Only for inputting credit card details[320],No,No,No,No,No
Third party input methods,Yes[321],8+,No,No  only for Android apps through sideload of Android keyboard[322],?,?,?
Gesture text input,4+[323],13+;[324] 8+: 3rd party software like SwiftKey,8.1+[325],Yes,?,No[326],No
Emoji support,4.4+[327],Yes[328],Yes[329],10.2+[330],?,3rd party software,Yes
