Name,Implementation Language,Active; Passive [12],Model[12],Typical input,Other input,Typical output
OutSystems Platform,NET,Active,Tier,User defined models based on the OutSystems visual modelling language,Java  C#  JavaScript  HTML5  CSS,ASPNET and JEE
PHPRunner,PHP/ASP/C#/VBNET,Active,Tier,Database schema,PHP  ASPX  HTML  CSS ,PHP  ASP  ASPNET (Full Web application  including C#  VBNET  PHP  ASP code  HTML  JavaScript  CSS  etc)
Pro*C,[empty],[empty],Inline,SQL in C,[empty],C
Radarc Online,C#/Angularjs/Nodejs,Active,Mixed,WYSIWYG UI/Data Layer Editor,Templates,User Interface Layer  Services Layer  Business Logic Layer  Data Access Layer  Database  IoC  Test (Android  iOS  Windows Phone  Windows)
Reegenerator,C#  VBNET  XSD,Active,Mixed,Userdefined Templates,Database  XSD  XML  C# or VBNET Code,C#  VBNET  SQL  Any other textual language
ribosome,Ruby  JavaScript or Python,Active,Mixed,Any format that can be read by Ruby  JavaScript or Python,Code generation script in Ruby  JavaScript or Python,any text document(s)
Scalagen,Scala,Passive,Tier,Database,[empty],Scala ORM code
Scriptcase,PHP  JavaScript,Active,Tier,Complete application (Web/Mobile) and build or use the database schema,PHP  HTML JavaScript  Ajax ,Full Web application ready to use (PHP and Javascript) with Interface layer  service layer  PHP  CSS etc and Database scripts to apply
Spring Roo,Java,Active,Tier,Java and automaticallyintrospected project metadata,Shell commands,Java (Full Web Application including Java source  AspectJ source  XML  JSP  Spring application contexts  build tools  property files  etc)
Stadium,C#,Passive&Active,Mixed,Web Application design using Stadium designer,Databases & SQL scripts,NET solution with C# sources  Bootstrap CSS  jQuery
T4,[empty],Passive,[empty],T4 Template/Text File,[empty],Any text format such as XML  XAML  C# files or just plain text files
Telosys,Java,Active,Mixed,Userdefined Models (DSL based on text files) and DatabaseModel created automatically from database schema,[empty],Any textual language  Java (Spring  JAXRS  JPA  JUnit  etc)  Python  C#  SQL  JavaScript (NodeJS)  PHP  etc
TLGen,Java,Active,Mixed,Database schema (Oracle  MySQL  PostgreSQL)  XML (domain model UML exported XML),Import from UML domain model (XML)  Import from DB,Java source classes (EJB3 persistence layer  data classes with interfaces Session Beans  Entity Managers and Entity Bean source classes Message Beans Web Services (SOAP  REST) JUnit Test classes) DB SQLs
Umple,Java,Active,Tier,Java  C  PHP  Ruby with embedded Umple code,Pure Umple code describing associations  patterns  state machines  etc,Java  C  PHP  Ruby  ECcore  Umlet  Yuml  Textuml  JSON  Papyrus XMI
Velocity apache,Java,Passive [16],Tier,Any code,Java,Java
X2X,C,Active,Mixed,Any textual format,CSV export from ExcelSheet,Any textual language
XACT X4MR,C,Passive,[empty],Language_A Source  Language_AtoLanguage_B Transform Rules,CHILL  CMS2  FORTRAN  COBOL  JOVIAL  PASCAL  PL/1  PLM86,Compilable Language_B Source; Application_A Documentation; Application_B Documentation
XDocLet,[empty],Active,Munger,JavaDoc,[empty],EJB support beans
Yii2 Gii,PHP,Active,Tier,Database schema  user input  source code,[empty],Skeleton application  CRUD applications
ZumCoder/MDA,PHP,Passive,Mixed,XSD  DBML  Database Schema(Mysql SqlServer PostegreSQL SQLite) HTML forms PHP class and (ZML "ZumCoder Model Language"  a XML define structure,Templates,Any textual language  depends upon your template code  you can write your own template to outputs the language of your preference
